Año,Trimestre,Provincia,Accesos por cada 100 hogares
2022,2,Entre Ríos,64.0
2022,2,Formosa,43.0
2022,2,Jujuy,57.0
2022,2,La Pampa,93.0
2022,2,La Rioja,80.0
2022,2,Mendoza,49.0
2022,2,Misiones,51.0
2022,2,Neuquén,80.0
2022,2,Río Negro,68.0
2022,2,Salta,58.0
2022,2,San Juan,49.0
2022,2,San Luis,82.0
2022,2,Santa Cruz,43.0
2022,2,Santa Fe,78.0
2022,2,Santiago Del Estero,48.0
2022,2,Tierra Del Fuego,100.0
2022,2,Tucumán,59.0
2022,1,Buenos Aires,76.0
2022,1,Capital Federal,112.0
2022,1,Catamarca,58.0
2022,1,Chaco,44.0
2022,1,Chubut,88.0
2022,1,Córdoba,86.0
2022,1,Corrientes,48.0
2022,1,Entre Ríos,64.0
2022,1,Formosa,35.0
2022,1,Jujuy,58.0
2022,1,La Pampa,92.0
2022,1,La Rioja,79.0
2022,1,Mendoza,49.0
2022,1,Misiones,49.0
2022,1,Neuquén,74.0
2022,1,Río Negro,67.0
2022,1,Salta,56.0
2022,1,San Juan,44.0
2022,1,San Luis,81.0
2022,1,Santa Cruz,43.0
2022,1,Santa Fe,77.0
2022,1,Santiago Del Estero,47.0
2022,1,Tierra Del Fuego,98.0
2022,1,Tucumán,57.0
2021,4,Buenos Aires,76.0
2021,4,Capital Federal,111.0
2021,4,Catamarca,55.0
2021,4,Chaco,44.0
2021,4,Chubut,83.0
2021,4,Córdoba,85.0
2021,4,Corrientes,46.0
2021,4,Entre Ríos,63.0
2021,4,Formosa,34.0
2021,4,Jujuy,57.0
2021,4,La Pampa,90.0
2021,4,La Rioja,78.0
2021,4,Mendoza,48.0
2021,4,Misiones,49.0
2021,4,Neuquén,73.0
2021,4,Río Negro,66.0
2021,4,Salta,57.0
2021,4,San Juan,40.0
2021,4,San Luis,80.0
2021,4,Santa Cruz,43.0
2021,4,Santa Fe,77.0
2021,4,Santiago Del Estero,47.0
2021,4,Tierra Del Fuego,98.0
2021,4,Tucumán,56.0
2021,3,Buenos Aires,72.0
2021,3,Capital Federal,111.0
2021,3,Catamarca,53.0
2021,3,Chaco,43.0
2021,3,Chubut,81.0
2021,3,Córdoba,81.0
2021,3,Corrientes,45.0
2021,3,Entre Ríos,62.0
2021,3,Formosa,34.0
2021,3,Jujuy,56.0
2021,3,La Pampa,84.0
2021,3,La Rioja,77.0
2021,3,Mendoza,46.0
2021,3,Misiones,46.0
2021,3,Neuquén,70.0
2021,3,Río Negro,62.0
2021,3,Salta,56.0
2021,3,San Juan,39.0
2021,3,San Luis,80.0
2021,3,Santa Cruz,44.0
2021,3,Santa Fe,75.0
2021,3,Santiago Del Estero,47.0
2021,3,Tierra Del Fuego,95.0
2021,3,Tucumán,55.0
2021,2,Buenos Aires,70.0
2021,2,Capital Federal,110.0
2021,2,Catamarca,52.0
2021,2,Chaco,43.0
2021,2,Chubut,72.0
2021,2,Córdoba,80.0
2021,2,Corrientes,44.0
2021,2,Entre Ríos,62.0
2021,2,Formosa,33.0
2021,2,Jujuy,56.0
2021,2,La Pampa,82.0
2021,2,La Rioja,77.0
2021,2,Mendoza,41.0
2021,2,Misiones,45.0
2021,2,Neuquén,69.0
2021,2,Río Negro,62.0
2021,2,Salta,55.0
2021,2,San Juan,39.0
2021,2,San Luis,83.0
2021,2,Santa Cruz,44.0
2021,2,Santa Fe,75.0
2021,2,Santiago Del Estero,47.0
2021,2,Tierra Del Fuego,68.0
2021,2,Tucumán,55.0
2021,1,Buenos Aires,69.0
2021,1,Capital Federal,108.0
2021,1,Catamarca,49.0
2021,1,Chaco,43.0
2021,1,Chubut,69.0
2021,1,Córdoba,79.0
2021,1,Corrientes,43.0
2021,1,Entre Ríos,60.0
2021,1,Formosa,33.0
2021,1,Jujuy,56.0
2021,1,La Pampa,82.0
2021,1,La Rioja,50.0
2021,1,Mendoza,39.0
2021,1,Misiones,43.0
